site,date,time,manual_stage,q
balas,3/14/18,11:00,0.32,0.17221
balas,6/14/18,11:00,0.3,0.09157
balas,8/28/18,11:00,0.68,0.66488
balas,11/28/18,11:00,0.64,0.35828
balas,1/10/19,11:00,0.5,0.18186
balas,5/30/19,10:30,0.13,0.0783
balas,10/15/19,10:43,0.54,0.3059
helado,8/28/18,12:00,0.64,2.3
helado,11/28/18,13:50,0.65,0.72
helado,1/10/19,12:00,0.5,0.46
helado,2/19/19,12:00,0.45,0.28
helado,3/1/19,12:00,0.42,0.16
helado,4/25/19,11:50,0.44,0.21
helado,5/30/19,11:50,0.64,0.82
helado,6/13/19,12:00,0.78,2.71
helado,10/15/19,12:32,0.7,2.57
helado,10/31/19,14:11,0.52,1.20167
raices,2/19/19,9:00,0.34,0.515
raices,3/1/19,9:00,0.31,0.419
raices,4/25/19,8:25,0.34,0.455
raices,6/13/19,9:00,0.38,0.54
raices,10/31/19,10:12,0.52,0.9322
raices,9/12/19,9:00,0.28,0.46675
raices,7/11/19,9:00,0.28,0.442025
raices,10/27/19,9:00,0.26,0.351
varsovia,3/15/18,15:00,0.52,0.93263
varsovia,6/11/18,15:00,0.4,0.65426
varsovia,8/27/18,15:00,0.5,1.06047
varsovia,1/8/19,15:00,0.44,0.70774
varsovia,2/19/19,15:00,0.4,0.54
varsovia,3/1/19,15:00,0.32,0.4
varsovia,4/25/19,14:30,0.32,0.44
varsovia,5/30/19,14:58,0.7,1.5907
varsovia,6/11/19,15:00,0.36,0.59982
varsovia,10/15/19,15:46,0.76,1.80815